epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4778,0.77602,2.62916,0.95781,0.50375,0.69388,0.55869,0.46606,0.63759,1.51866,0.8633,0.000276833,0.000276833,0.000276833
2,25.7323,0.75575,1.73639,0.94059,0.49277,0.81867,0.60359,0.49857,0.63297,1.44714,0.88682,0.00054901,0.00054901,0.00054901
3,37.7338,0.76011,1.42966,0.94752,0.54502,0.78121,0.62388,0.50918,0.68418,1.36879,0.90745,0.000815689,0.000815689,0.000815689
4,49.5185,0.75069,1.25472,0.95225,0.5753,0.80108,0.69683,0.58411,0.62472,1.05363,0.8895,0.00080826,0.00080826,0.00080826
5,61.3774,0.71585,1.13198,0.94452,0.51543,0.74495,0.64674,0.56349,0.56994,1.10222,0.86259,0.000800013,0.000800013,0.000800013
6,73.1399,0.69207,1.06508,0.93237,0.57225,0.73332,0.62711,0.53766,0.57762,1.33319,0.87404,0.000791767,0.000791767,0.000791767
7,85.0191,0.66488,1.01408,0.92239,0.58802,0.7594,0.66174,0.57136,0.57559,1.16283,0.87685,0.00078352,0.00078352,0.00078352
8,96.8848,0.64938,0.95598,0.92003,0.62899,0.8143,0.71243,0.62362,0.52547,0.96304,0.85029,0.000775273,0.000775273,0.000775273
9,144.574,0.64757,0.93982,0.91894,0.56613,0.8014,0.69628,0.59957,0.55161,0.95318,0.86712,0.000767026,0.000767026,0.000767026
10,195.53,0.62324,0.90619,0.91216,0.55553,0.78844,0.69256,0.604,0.52885,0.99309,0.85846,0.00075878,0.00075878,0.00075878
11,207.359,0.61893,0.88447,0.91621,0.6061,0.83089,0.72804,0.63827,0.50588,0.88753,0.85327,0.000750533,0.000750533,0.000750533
12,257.512,0.61716,0.86192,0.91388,0.62713,0.77735,0.72142,0.63442,0.51808,0.90545,0.8482,0.000742286,0.000742286,0.000742286
13,269.282,0.60537,0.84384,0.91136,0.64899,0.80501,0.73833,0.65137,0.5089,0.9091,0.85138,0.00073404,0.00073404,0.00073404
14,319.561,0.58547,0.82373,0.90178,0.62982,0.83114,0.73606,0.65394,0.49815,0.85359,0.8473,0.000725793,0.000725793,0.000725793
15,331.403,0.58893,0.80736,0.90479,0.61297,0.87157,0.76603,0.67672,0.50219,0.83237,0.85531,0.000717546,0.000717546,0.000717546
16,381.613,0.58126,0.78998,0.90032,0.67429,0.83285,0.77128,0.6834,0.49568,0.80979,0.8457,0.000709299,0.000709299,0.000709299
17,393.481,0.57635,0.77155,0.90015,0.61329,0.81254,0.7409,0.66042,0.48288,0.89476,0.84439,0.000701053,0.000701053,0.000701053
18,405.275,0.56795,0.76508,0.89529,0.62455,0.81448,0.75264,0.67018,0.4825,0.86259,0.84284,0.000692806,0.000692806,0.000692806
19,417.177,0.56438,0.74688,0.89691,0.51164,0.83347,0.71605,0.64001,0.47934,0.9877,0.84904,0.000684559,0.000684559,0.000684559
20,428.995,0.54921,0.73598,0.89034,0.58776,0.76721,0.69902,0.62179,0.49168,1.01534,0.85095,0.000676313,0.000676313,0.000676313
