epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.624,0.88247,2.12745,0.97327,0.5206,0.79315,0.58772,0.49716,0.67161,0.99989,0.88629,0.00333181,0.00333181,0.00333181
2,276.666,0.88561,1.23524,0.97089,0.51821,0.82492,0.60652,0.49973,0.70467,0.7348,0.89475,0.00659916,0.00659916,0.00659916
3,355.177,0.93481,1.01566,0.99476,0.48027,0.82341,0.5838,0.47415,0.74664,0.74395,0.91827,0.00980051,0.00980051,0.00980051
4,432.522,0.93477,0.92694,1.00501,0.55227,0.82264,0.64283,0.53866,0.67003,0.60706,0.90595,0.009703,0.009703,0.009703
5,509.181,0.87469,0.82407,0.98803,0.59206,0.84635,0.66229,0.56477,0.62847,0.57456,0.88996,0.009604,0.009604,0.009604
6,713.68,0.83153,0.77114,0.9714,0.58473,0.8382,0.67487,0.58958,0.60748,0.54296,0.88489,0.009505,0.009505,0.009505
7,790.261,0.80461,0.72977,0.96575,0.63776,0.83049,0.71716,0.62714,0.58809,0.50821,0.88027,0.009406,0.009406,0.009406
8,984.114,0.78308,0.70107,0.95695,0.64889,0.87926,0.72475,0.64423,0.5681,0.48155,0.86975,0.009307,0.009307,0.009307
9,1105.25,0.76975,0.684,0.95235,0.67383,0.85684,0.75282,0.66764,0.55232,0.46042,0.86589,0.009208,0.009208,0.009208
10,1219.35,0.75196,0.66396,0.94634,0.6825,0.87637,0.7549,0.67079,0.53869,0.4442,0.86408,0.009109,0.009109,0.009109
11,1412.71,0.74409,0.65008,0.94488,0.66478,0.87482,0.7495,0.67524,0.52879,0.4352,0.86049,0.00901,0.00901,0.00901
12,1645.88,0.72962,0.63639,0.94002,0.70271,0.8708,0.76818,0.69588,0.52092,0.41905,0.85834,0.008911,0.008911,0.008911
13,1879.03,0.72548,0.62559,0.9391,0.67285,0.87788,0.74726,0.67908,0.51418,0.42297,0.85339,0.008812,0.008812,0.008812
14,2071.98,0.71832,0.62064,0.93688,0.7,0.85551,0.76313,0.69297,0.50564,0.41498,0.85299,0.008713,0.008713,0.008713
15,2216.48,0.71146,0.60845,0.934,0.69148,0.88219,0.7663,0.70129,0.50137,0.40147,0.85011,0.008614,0.008614,0.008614
16,2370.42,0.70869,0.60536,0.93413,0.68726,0.86892,0.77519,0.71291,0.49087,0.39957,0.84573,0.008515,0.008515,0.008515
17,2537.32,0.7006,0.59995,0.93025,0.69351,0.87002,0.77771,0.71163,0.48842,0.39712,0.84614,0.008416,0.008416,0.008416
18,2613.64,0.69585,0.58601,0.92858,0.69902,0.87864,0.77307,0.70871,0.48718,0.39024,0.84572,0.008317,0.008317,0.008317
19,2844.17,0.69246,0.58243,0.92687,0.68962,0.89775,0.78179,0.71744,0.48449,0.38374,0.84475,0.008218,0.008218,0.008218
20,3073.49,0.68538,0.576,0.92541,0.70322,0.87671,0.78144,0.72013,0.47846,0.38005,0.843,0.008119,0.008119,0.008119
21,3229.32,0.68434,0.57599,0.9262,0.69504,0.89187,0.78312,0.7226,0.47797,0.38016,0.84292,0.00802,0.00802,0.00802
22,3305.63,0.6814,0.56699,0.92379,0.71689,0.86424,0.78612,0.72671,0.47379,0.37433,0.84154,0.007921,0.007921,0.007921
23,3499.68,0.67382,0.56326,0.92117,0.69646,0.89346,0.78961,0.72843,0.47254,0.37381,0.84132,0.007822,0.007822,0.007822
24,3692.86,0.67579,0.55997,0.9224,0.69971,0.89431,0.78931,0.72791,0.4712,0.37402,0.841,0.007723,0.007723,0.007723
25,3827.31,0.66691,0.55432,0.91724,0.71039,0.87719,0.78716,0.72724,0.46891,0.37345,0.84016,0.007624,0.007624,0.007624
26,3981.35,0.67157,0.55311,0.92082,0.70982,0.8806,0.78916,0.73073,0.46707,0.373,0.83932,0.007525,0.007525,0.007525
27,4057.88,0.66579,0.55016,0.91697,0.70241,0.8883,0.79063,0.73184,0.46502,0.37103,0.83873,0.007426,0.007426,0.007426
28,4172.44,0.66401,0.54594,0.9171,0.70533,0.88244,0.79322,0.73537,0.46414,0.36962,0.83818,0.007327,0.007327,0.007327
29,4292.08,0.65801,0.54195,0.91465,0.70302,0.88782,0.79263,0.73531,0.4632,0.36847,0.83786,0.007228,0.007228,0.007228
30,4406.01,0.65451,0.53839,0.91458,0.70084,0.89357,0.79371,0.7355,0.46279,0.36791,0.83754,0.007129,0.007129,0.007129
31,4639.19,0.65412,0.53807,0.91321,0.7004,0.89119,0.79287,0.73601,0.46151,0.36711,0.83697,0.00703,0.00703,0.00703
32,4832.43,0.65325,0.53471,0.91293,0.70218,0.88938,0.79414,0.73762,0.46124,0.36612,0.83707,0.006931,0.006931,0.006931
33,5065.7,0.64736,0.52873,0.91225,0.7027,0.89151,0.79485,0.73855,0.46104,0.36601,0.8369,0.006832,0.006832,0.006832
34,5299.03,0.64939,0.52709,0.91257,0.70367,0.88802,0.79491,0.73927,0.46071,0.36602,0.83674,0.006733,0.006733,0.006733
35,5491.78,0.64847,0.52596,0.91286,0.70184,0.89118,0.7957,0.74,0.46086,0.36592,0.83665,0.006634,0.006634,0.006634
36,5724.88,0.6465,0.52073,0.91196,0.7017,0.88411,0.79564,0.7397,0.46052,0.36561,0.8367,0.006535,0.006535,0.006535
37,5801.23,0.6413,0.52006,0.9083,0.70449,0.88274,0.79736,0.74142,0.45998,0.3646,0.83653,0.006436,0.006436,0.006436
38,5915.52,0.64048,0.51859,0.90953,0.70034,0.89582,0.79859,0.74309,0.45988,0.36417,0.83651,0.006337,0.006337,0.006337
39,6148.6,0.64009,0.51685,0.90863,0.69976,0.89793,0.80031,0.7445,0.45923,0.36345,0.83646,0.006238,0.006238,0.006238
40,6301.64,0.63509,0.51125,0.90567,0.69811,0.90029,0.80149,0.74539,0.45899,0.36249,0.83626,0.006139,0.006139,0.006139
41,6378.25,0.63147,0.50921,0.90634,0.69814,0.89888,0.80198,0.74574,0.4587,0.36221,0.83594,0.00604,0.00604,0.00604
42,6569.19,0.62937,0.5062,0.90382,0.69999,0.90152,0.80362,0.74826,0.4584,0.36148,0.83577,0.005941,0.005941,0.005941
43,6725.9,0.63017,0.50442,0.90284,0.69815,0.90147,0.80487,0.74993,0.45809,0.36085,0.83564,0.005842,0.005842,0.005842
44,6802.33,0.62117,0.49575,0.9018,0.69801,0.9037,0.80556,0.75074,0.45772,0.36052,0.83549,0.005743,0.005743,0.005743
45,6879.41,0.62472,0.49944,0.90361,0.69796,0.90995,0.8055,0.75165,0.45723,0.35959,0.83528,0.005644,0.005644,0.005644
46,6956.28,0.62559,0.49867,0.90226,0.69806,0.9061,0.8072,0.75316,0.45673,0.35885,0.83507,0.005545,0.005545,0.005545
47,7033.08,0.62677,0.49996,0.90456,0.70089,0.90557,0.8064,0.75156,0.45614,0.35781,0.83482,0.005446,0.005446,0.005446
48,7110,0.61889,0.4905,0.90197,0.70375,0.90113,0.80744,0.75391,0.4557,0.35751,0.83459,0.005347,0.005347,0.005347
49,7186.95,0.6187,0.4872,0.90207,0.7011,0.90048,0.80942,0.75576,0.45484,0.35682,0.83428,0.005248,0.005248,0.005248
50,7263.89,0.61592,0.4905,0.89957,0.70659,0.89729,0.81044,0.75713,0.45428,0.35604,0.83401,0.005149,0.005149,0.005149
51,7340.77,0.61491,0.48391,0.89993,0.70448,0.89856,0.81066,0.75705,0.45385,0.35503,0.83384,0.00505,0.00505,0.00505
52,7471.29,0.61106,0.47593,0.89847,0.70508,0.89836,0.81168,0.75831,0.45318,0.35464,0.83367,0.004951,0.004951,0.004951
53,7704.54,0.60979,0.47799,0.89747,0.70169,0.90213,0.813,0.75972,0.45286,0.35366,0.83344,0.004852,0.004852,0.004852
54,7936.64,0.60719,0.47897,0.89628,0.70087,0.90058,0.8154,0.76225,0.45246,0.3531,0.83339,0.004753,0.004753,0.004753
55,8131.11,0.60715,0.47146,0.89619,0.70739,0.89053,0.81593,0.76233,0.45193,0.35277,0.83316,0.004654,0.004654,0.004654
56,8248.67,0.60448,0.4709,0.89644,0.7084,0.8904,0.81816,0.76393,0.45148,0.35184,0.83283,0.004555,0.004555,0.004555
57,8352.12,0.60051,0.47151,0.89251,0.71084,0.88993,0.82081,0.7666,0.45093,0.35107,0.83245,0.004456,0.004456,0.004456
58,8428.58,0.60098,0.46805,0.89386,0.70731,0.89503,0.8229,0.76856,0.45059,0.35002,0.8322,0.004357,0.004357,0.004357
59,8659.79,0.59845,0.46652,0.89185,0.70857,0.8919,0.82422,0.76991,0.44986,0.34893,0.83197,0.004258,0.004258,0.004258
60,8852.82,0.598,0.46097,0.89341,0.70767,0.89454,0.8259,0.7711,0.44953,0.34841,0.83174,0.004159,0.004159,0.004159
61,8963.06,0.59328,0.45962,0.89309,0.70646,0.89462,0.82739,0.77318,0.44882,0.34752,0.83156,0.00406,0.00406,0.00406
62,9155.91,0.59155,0.45818,0.89155,0.70464,0.90146,0.82734,0.77264,0.44866,0.34676,0.83145,0.003961,0.003961,0.003961
63,9309.19,0.59302,0.45518,0.88952,0.70496,0.9049,0.82775,0.77309,0.44833,0.34705,0.83129,0.003862,0.003862,0.003862
64,9386.31,0.58957,0.45198,0.89116,0.70394,0.90856,0.82912,0.77479,0.44777,0.34628,0.83104,0.003763,0.003763,0.003763
65,9576.89,0.58688,0.45282,0.88878,0.70385,0.90703,0.82978,0.77532,0.44748,0.34565,0.83092,0.003664,0.003664,0.003664
66,9810.19,0.58778,0.44891,0.88931,0.70651,0.90454,0.82934,0.77503,0.44705,0.34527,0.83069,0.003565,0.003565,0.003565
67,10043.5,0.58075,0.44608,0.88714,0.70611,0.90819,0.83022,0.77617,0.4467,0.34515,0.83052,0.003466,0.003466,0.003466
68,10236.5,0.58079,0.44277,0.88781,0.72314,0.88583,0.83008,0.77598,0.44609,0.34448,0.83018,0.003367,0.003367,0.003367
69,10469.8,0.57666,0.44096,0.88636,0.71414,0.89813,0.83148,0.77734,0.44568,0.34402,0.82998,0.003268,0.003268,0.003268
70,10703.3,0.57658,0.43888,0.88613,0.71579,0.90133,0.83304,0.77854,0.44483,0.34373,0.8294,0.003169,0.003169,0.003169
71,10896.6,0.5743,0.43434,0.88229,0.71662,0.90322,0.83588,0.78143,0.44444,0.34331,0.8291,0.00307,0.00307,0.00307
72,11025.9,0.57331,0.43307,0.8863,0.71694,0.90438,0.8354,0.78068,0.44425,0.34298,0.82905,0.002971,0.002971,0.002971
73,11103,0.57167,0.43153,0.88522,0.74057,0.87262,0.83726,0.7821,0.44401,0.34211,0.82894,0.002872,0.002872,0.002872
74,11179.9,0.56448,0.42458,0.88195,0.74076,0.87495,0.83675,0.78131,0.44356,0.34144,0.82871,0.002773,0.002773,0.002773
75,11256.9,0.56636,0.42285,0.88342,0.72456,0.89426,0.83675,0.78184,0.44307,0.3411,0.82843,0.002674,0.002674,0.002674
76,11333.9,0.5625,0.42188,0.88251,0.72456,0.89379,0.83654,0.782,0.44264,0.34067,0.82811,0.002575,0.002575,0.002575
77,11410.5,0.56099,0.41648,0.88101,0.72337,0.89867,0.83625,0.78184,0.44211,0.3403,0.82791,0.002476,0.002476,0.002476
78,11487.5,0.55819,0.41402,0.87755,0.71933,0.90752,0.83641,0.78226,0.4416,0.33972,0.82777,0.002377,0.002377,0.002377
79,11564.4,0.55576,0.41374,0.87986,0.71988,0.90778,0.83704,0.78293,0.44121,0.33909,0.82759,0.002278,0.002278,0.002278
80,11641.4,0.55477,0.41247,0.87717,0.71999,0.90511,0.83764,0.78306,0.4409,0.33861,0.82743,0.002179,0.002179,0.002179
81,11795.3,0.55467,0.40956,0.87736,0.72374,0.89824,0.83849,0.7839,0.44066,0.33819,0.82727,0.00208,0.00208,0.00208
82,11999.5,0.54923,0.40294,0.87701,0.73554,0.8768,0.83918,0.78507,0.44035,0.338,0.82721,0.001981,0.001981,0.001981
83,12076.2,0.5508,0.39961,0.87868,0.74162,0.87517,0.8404,0.78608,0.44028,0.33776,0.82717,0.001882,0.001882,0.001882
